WARNING:easyocr.easyocr:Using CPU. Note: This module is much faster with a GPU.
INFO:root:[YOLO] CPU Time: 0.2031 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.2500 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.1250 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.1562 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.1406 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.1562 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.1875 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[Frame Total] CPU Time: 0.1875 s, Memory: 1254.22 MB
INFO:root:[YOLO] CPU Time: 0.2812 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.22 MB
