epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,1669.83,0.4313,0.30749,0.85925,0.38776,0.26508,0.23963,0.18535,2.06175,3.27261,2.51504,6.1798e-05,6.1798e-05,6.1798e-05
158,1680.31,0.45802,0.32124,0.86936,0.36199,0.26461,0.23057,0.17958,2.05588,3.32285,2.4985,5.93435e-05,5.93435e-05,5.93435e-05
159,1690.18,0.45092,0.31627,0.86985,0.35238,0.2623,0.22423,0.17416,2.05524,3.30139,2.49581,5.69366e-05,5.69366e-05,5.69366e-05
160,1701.04,0.44977,0.31795,0.85936,0.3957,0.26069,0.23813,0.1824,2.0521,3.22775,2.48754,5.4578e-05,5.4578e-05,5.4578e-05
161,1711.77,0.44541,0.31426,0.85975,0.40201,0.26069,0.25437,0.1944,2.06117,3.23255,2.5046,5.22683e-05,5.22683e-05,5.22683e-05
162,1722.51,0.43856,0.31131,0.8623,0.39365,0.26739,0.25671,0.19925,2.05284,3.22074,2.50808,5.00079e-05,5.00079e-05,5.00079e-05
163,1734.42,0.45018,0.3173,0.85565,0.39199,0.27199,0.26194,0.20309,2.04985,3.21356,2.50712,4.77976e-05,4.77976e-05,4.77976e-05
164,1744.91,0.43058,0.31712,0.85251,0.38017,0.27199,0.26041,0.19982,2.05386,3.26194,2.50588,4.56377e-05,4.56377e-05,4.56377e-05
165,1754.81,0.43999,0.31602,0.8614,0.36342,0.27199,0.25948,0.2013,2.04803,3.28394,2.50049,4.35288e-05,4.35288e-05,4.35288e-05
166,1765.67,0.44823,0.31687,0.86531,0.36482,0.27277,0.25051,0.19284,2.05464,3.28639,2.49872,4.14716e-05,4.14716e-05,4.14716e-05
167,1776.49,0.44474,0.31392,0.86259,0.38038,0.27408,0.25295,0.19578,2.05011,3.29788,2.49287,3.94663e-05,3.94663e-05,3.94663e-05
168,1787.27,0.4468,0.3175,0.85929,0.37527,0.27369,0.25509,0.19817,2.05069,3.30101,2.49697,3.75137e-05,3.75137e-05,3.75137e-05
